ciphertext,word_count,words
ALOHAS,2,"GRUNGY, ALOHAS"
BMPIBT,2,"GRUNGY, ALOHAS"
CNQJCU,2,"GRUNGY, ALOHAS"
DORKDV,2,"GRUNGY, ALOHAS"
EPSLEW,2,"GRUNGY, ALOHAS"
FQTMFX,2,"GRUNGY, ALOHAS"
GRUNGY,2,"GRUNGY, ALOHAS"
HSVOHZ,2,"GRUNGY, ALOHAS"
ITWPI ,2,"GRUNGY, ALOHAS"
JUXQJA,2,"GRUNGY, ALOHAS"
KVYRKB,2,"GRUNGY, ALOHAS"
LWZSLC,2,"GRUNGY, ALOHAS"
MX TMD,2,"GRUNGY, ALOHAS"
NYAUNE,2,"GRUNGY, ALOHAS"
OZBVOF,2,"GRUNGY, ALOHAS"
P CWPG,2,"GRUNGY, ALOHAS"
QADXQH,2,"GRUNGY, ALOHAS"
RBEYRI,2,"GRUNGY, ALOHAS"
SCFZSJ,2,"GRUNGY, ALOHAS"
TDG TK,2,"GRUNGY, ALOHAS"
UEHAUL,2,"GRUNGY, ALOHAS"
VFIBVM,2,"GRUNGY, ALOHAS"
WGJCWN,2,"GRUNGY, ALOHAS"
XHKDXO,2,"GRUNGY, ALOHAS"
YILEYP,2,"GRUNGY, ALOHAS"
ZJMFZQ,2,"GRUNGY, ALOHAS"
 KNG R,2,"GRUNGY, ALOHAS"
ANTEED,2,"ANTEED, BOUFFE"
BOUFFE,2,"ANTEED, BOUFFE"
CPVGGF,2,"ANTEED, BOUFFE"
DQWHHG,2,"ANTEED, BOUFFE"
ERXIIH,2,"ANTEED, BOUFFE"
FSYJJI,2,"ANTEED, BOUFFE"
GTZKKJ,2,"ANTEED, BOUFFE"
HU LLK,2,"ANTEED, BOUFFE"
IVAMML,2,"ANTEED, BOUFFE"
JWBNNM,2,"ANTEED, BOUFFE"
KXCOON,2,"ANTEED, BOUFFE"
LYDPPO,2,"ANTEED, BOUFFE"
MZEQQP,2,"ANTEED, BOUFFE"
N FRRQ,2,"ANTEED, BOUFFE"
OAGSSR,2,"ANTEED, BOUFFE"
PBHTTS,2,"ANTEED, BOUFFE"
QCIUUT,2,"ANTEED, BOUFFE"
RDJVVU,2,"ANTEED, BOUFFE"
SEKWWV,2,"ANTEED, BOUFFE"
TFLXXW,2,"ANTEED, BOUFFE"
UGMYYX,2,"ANTEED, BOUFFE"
VHNZZY,2,"ANTEED, BOUFFE"
WIO  Z,2,"ANTEED, BOUFFE"
